customer_id,age,gender,income,city,recency,frequency,monetary,aov,avg_days_between,engagement_score,cat_Electronics,cat_Fashion,cat_Grocery,cat_Home,cat_Sports,cat_Books,cat_Beauty
C100000,56,Female,48012,Hyderabad,15,3,308.38619558858505,102.79539852952836,35.23260052922252,0.0658604220029772,0.21856676780920492,0.30220582342480434,0.10509251955894644,0.0352924716888425,0.2646080417221706,0.06587476287659323,0.008359612919437922
C100001,69,Male,54642,Chennai,6,4,1107.0388482086112,276.7597120521528,20.104678295642625,0.1236426291782357,0.08630308809940342,0.1654964875553541,0.05566202176018627,0.08781291694654211,0.07097699174278788,0.32269006576057113,0.21105842813515502
C100002,46,Female,64340,Pune,197,7,1008.4879542414208,144.0697077487744,92.89724499511726,0.03279586682058637,0.17167410629027466,0.06407521142326103,0.022169815831576088,0.08908893893375104,0.15760688632608913,0.4426786246564312,0.052706416538616886
C100003,32,Male,72711,Delhi,10,7,1500.625373765562,214.3750533950803,106.7726523311868,0.02857349684794497,0.15741278541371173,0.12209391602607475,0.04952278670588758,0.2932420068516404,0.08107436114549915,0.020748714065808166,0.27590542979137817
C100004,60,Male,67110,Mumbai,5,7,1198.9541237330761,171.2791605332966,117.96791595048325,0.02588463887155558,0.004849805155395214,0.23254802905403554,0.16067603081141882,0.2927287831455705,0.20063860158177851,0.0841631787832043,0.02439557146859715
C100005,25,Female,75913,Mumbai,33,5,590.8168924381421,118.16337848762842,1.1790767814008003,1.281166176913416,0.15703887692137264,0.22002096123796488,0.06612963328796662,0.01383786295709198,0.3211678367091897,0.1065629076391282,0.11524192124728587
C100006,38,Male,109078,Kolkata,89,8,1370.5376575001267,171.31720718751583,37.56604110526836,0.08290258698343446,0.1728940634177267,0.397976755298377,0.06445638658390483,0.13751039370057852,0.08051922401169144,0.08717631971832861,0.05946685726939296
C100007,56,Female,43781,Hyderabad,245,5,709.6122231386153,141.92244462772305,52.85009731273907,0.05184316479531452,0.3920230766534198,0.07502269132408641,0.23222368865213452,0.18948776296880218,0.06721393260162088,0.020699204805325357,0.023329642994610805
C100008,36,Male,45974,Mumbai,300,0,50.0,50.0,27.081304661258066,0.03561088104925675,0.049845886797276924,0.11060571491410426,0.047167343154262936,0.040686728636800645,0.482377194164712,0.19636840167273142,0.07294873066011169
C100009,40,Male,71093,Chennai,72,7,2341.3774103851442,334.48248719787773,9.874564961398976,0.2831783664551925,0.10986884401813071,0.08550363586626396,0.05049737639765729,0.18516884239929918,0.4838791578914673,0.021224737668405977,0.06385740575877555
C100010,28,Female,49870,Chennai,107,5,715.5810189785893,143.11620379571787,1.0,1.3958797346140275,0.07629308334819757,0.011773164716509911,0.25561040789873046,0.019465408711812432,0.007404813309954149,0.02318851527406544,0.60626460674073
C100011,28,Male,39840,Kolkata,309,3,786.3804025548048,262.1268008516016,9.773371321013478,0.22149931437575346,0.1908278690908053,0.023710524720944343,0.36128208441921217,0.0027408401674616782,0.4153446910480984,0.0018225002814914544,0.004271490271986647
C100012,41,Male,36358,Chennai,178,2,731.9477410174065,365.97387050870327,31.152416980290813,0.06527074745125827,0.1288848885809899,0.1982590739213385,0.04125661441710546,0.18760304776724746,0.16750843008052763,0.12922400356860028,0.14726394166419093
C100013,53,Male,68853,Jaipur,116,4,1411.0159124841098,352.75397812102744,43.54738921903898,0.05857667437262205,0.17547492352582847,0.07547989536095508,0.1628182970281352,0.16992936431708394,0.060222171963701075,0.3079058618858571,0.04816948591843924
C100014,57,Female,63571,Jaipur,33,7,1379.5734303359916,197.08191861942737,19.111906468767828,0.153115347193065,0.024964019796316336,0.009242008865155164,0.01457535560845083,0.12374915607949981,0.018643444568423352,0.1994795947141447,0.6093464203680099
C100015,41,Male,105964,Chennai,76,9,1591.2200119403647,176.80222354892942,3.2254502643197065,0.7815936495292671,0.17842766096636165,0.02050795211868771,0.17996443647057694,0.17675324324014874,0.01520662572808478,0.41165595343088585,0.01748412804525438
